,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.28319212794303894,0.21725793182849884,0.28600993752479553,0.47750574350357056,0.31599143519997597
NLL,4.443963527679443,3.5518240928649902,0.5939756035804749,1.0035309791564941,2.3983235508203506
MAE,0.3371548652648926,0.26444369554519653,0.3979068398475647,0.530969500541687,0.3826187252998352
RMSE,0.6885946393013,0.40807396173477173,0.5958892107009888,0.8653550744056702,0.6394782215356827
SMAPE,6.184959934182363,7.301155465548156,9.385316404577804,9.455664647768621,8.081774113019236
Corr,0.9207321451744126,0.8585371161917928,0.9572261852614319,0.9023507599627297,0.9097115516475918
MB Log,-inf,-1.1328121423721313,1.8043283224105835,1.3946378231048584,-inf
SDP,5.0,-23.0,1.0,-14.0,7.75
