,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.3764466941356659,0.2064756453037262,0.22253675758838654,0.6533446907997131,0.36470094695687294
NLL,3.7174065113067627,1.37722909450531,0.9035768508911133,41.69522476196289,11.92335930466652
MAE,0.44172343611717224,0.26267874240875244,0.30600807070732117,0.7507915496826172,0.44030044972896576
RMSE,0.8203939199447632,0.34204110503196716,0.41555553674697876,1.3212934732437134,0.7248210087418556
SMAPE,8.494031723231485,8.16286430984247,8.395986687647152,14.522497098739832,9.893844954865235
Corr,0.9076010098055831,0.9164535603825744,0.9515171445169381,0.8376075474888441,0.9032948155484849
MB Log,-1.3057516813278198,1.0237642526626587,1.495751142501831,-inf,-inf
SDP,-10.0,39.0,-14.0,8.0,5.75
