,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.4662933349609375,0.27547258138656616,0.22683490812778473,0.3648661673069,0.3333667479455471
NLL,20.906604766845703,6.338378429412842,1.5606184005737305,4.299356460571289,8.276239514350891
MAE,0.5059444904327393,0.3281249701976776,0.28207188844680786,0.4670456051826477,0.3957967385649681
RMSE,0.9462007880210876,0.4839172959327698,0.4296112656593323,0.8156678080558777,0.6688492894172668
SMAPE,9.266089870505137,8.774237294014686,6.748298749531784,8.601936967405553,8.34764072036429
Corr,0.931079658950324,0.7831480487050689,0.9739451764698597,0.9459687766510823,0.9085354151940838
MB Log,-inf,-inf,0.8444568514823914,-1.8672584295272827,-inf
SDP,-13.0,73.0,0.0,5.0,16.25
