,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.45213693380355835,0.26537761092185974,0.2692696750164032,1.0760921239852905,0.515719085931778
NLL,244.58248901367188,4.555806636810303,4.4391937255859375,12493811712.0,3123452991.3943725
MAE,0.49958884716033936,0.3259279727935791,0.3239511251449585,1.1509805917739868,0.5751121342182159
RMSE,0.9028975367546082,0.4609887897968292,0.49527421593666077,2.0960657596588135,0.9888065755367279
SMAPE,10.315456651661494,9.415250267487407,7.707195543263056,21.3777181546982,12.203905154277539
Corr,0.8914521221636351,0.8086601931591733,0.965349887716102,0.5036566267931993,0.7922797074580274
MB Log,-inf,-2.133568286895752,-2.0054080486297607,-inf,-inf
SDP,-15.0,68.0,-1.0,4.0,14.0
