,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.36682188510894775,0.19028273224830627,0.20427492260932922,4.613558769226074,1.3437345772981644
NLL,13.034238815307617,1.2354387044906616,1.4892467260360718,841602170880.0,210400542723.93973
MAE,0.40945184230804443,0.24215327203273773,0.26672086119651794,4.777466297149658,1.4239480681717396
RMSE,0.7631155848503113,0.3438246250152588,0.392225980758667,13.814325332641602,3.8283728808164597
SMAPE,7.830209078854077,7.253608286706477,6.779707294620879,21.875018812205692,10.93463586809678
Corr,0.9297812354591697,0.9140374066035551,0.964352274884929,-0.06894388810174847,0.6848067572114763
MB Log,-inf,1.1666475534439087,0.9162838459014893,-inf,-inf
SDP,-9.0,-5.0,-14.0,9.0,4.75
