,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.16915090382099152,0.251294881105423,0.15465222299098969,0.42304402589797974,0.24953550845384598
NLL,-0.009997871704399586,1.481931209564209,0.20660701394081116,0.3515048027038574,0.5075112886261195
MAE,0.21131524443626404,0.3282833993434906,0.2115999013185501,0.4302968382835388,0.2953738458454609
RMSE,0.4482121765613556,0.40375712513923645,0.35654494166374207,0.8275980949401855,0.5090280845761299
SMAPE,4.273514159738201,9.357795298425227,4.58674966472469,6.625200036453874,6.2108147898354975
Corr,0.958832068649372,0.8776750752541281,0.9555456187276474,0.9494795052595854,0.9353830669726833
MB Log,2.409024238586426,0.9182986617088318,2.1964917182922363,2.0475144386291504,1.892832264304161
SDP,-19.0,-20.0,-11.0,-10.0,15.0
