,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.4587501287460327,0.22219011187553406,0.2222210019826889,0.5847474336624146,0.37197716906666756
NLL,31.586091995239258,1.2461843490600586,0.708588719367981,3.4051873683929443,9.23651310801506
MAE,0.4933473765850067,0.2870565950870514,0.29591891169548035,0.6312963366508484,0.4269048050045967
RMSE,0.9588269591331482,0.3755836486816406,0.4720247983932495,1.3460373878479004,0.7881181985139847
SMAPE,8.942591000909674,8.167926600722017,6.913343455693493,8.80879127815978,8.208163083871241
Corr,0.8727314872207355,0.890287520751467,0.923840525917941,0.7977523333256018,0.8711529668039363
MB Log,-inf,1.1546887159347534,1.6919517517089844,-0.9897041916847229,-inf
SDP,-5.0,44.0,-17.0,35.0,14.25
