,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.589106023311615,0.2346353977918625,0.1916598379611969,0.9521228671073914,0.49188103154301643
NLL,29.23985481262207,6.614249229431152,4.172399997711182,5.131867408752441,11.289592862129211
MAE,0.6547955870628357,0.28001105785369873,0.26014047861099243,1.1971549987792969,0.5980255305767059
RMSE,1.104250192642212,0.44647085666656494,0.45756351947784424,2.66713809967041,1.1688556671142578
SMAPE,13.840940292567423,7.736723019125684,5.62713623046875,12.55145347281678,9.93906325374466
Corr,0.8547266417471938,0.823775433240999,0.9408674812718282,0.5349609664872588,0.78858263068682
MB Log,-inf,-4.176501750946045,-1.7144335508346558,-2.7073569297790527,-inf
SDP,8.0,39.0,18.0,-31.0,8.5
