,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.28682100772857666,0.19344575703144073,0.18113252520561218,0.2766551077365875,0.23451359942555428
NLL,2.4768991470336914,0.9312873482704163,0.8024547100067139,51.90575408935547,14.029098823666573
MAE,0.35304948687553406,0.2531930208206177,0.24147626757621765,0.37464088201522827,0.3055899143218994
RMSE,0.6264998912811279,0.3397766053676605,0.36094948649406433,0.7094841003417969,0.5091775208711624
SMAPE,6.874799336472602,7.68583276884152,6.054028027678189,6.324751867006903,6.734852999999804
Corr,0.9450477033282136,0.9155167895890961,0.9721620852826083,0.9447229121299108,0.9443623725824573
MB Log,-0.06523830443620682,1.4679917097091675,1.6000314950942993,-inf,-inf
SDP,-5.0,-14.0,-11.0,-6.0,9.0
