,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.3387834429740906,0.1855299025774002,0.1832389235496521,0.3352717459201813,0.26070600375533104
NLL,18.026233673095703,1.2213999032974243,0.648960530757904,1.1882107257843018,5.271201208233833
MAE,0.39978522062301636,0.23425166308879852,0.2496050000190735,0.46618524193763733,0.3374567814171314
RMSE,0.7117082476615906,0.3269015848636627,0.37878555059432983,0.7812836170196533,0.5496697500348091
SMAPE,7.706396024521083,6.9873210510920964,6.293951583235231,8.133344258347602,7.280253229299003
Corr,0.9321406107469722,0.9247863914643673,0.9725366544113851,0.9696282793429416,0.9497729839914166
MB Log,-inf,1.1799598932266235,1.7507057189941406,1.2136262655258179,-inf
SDP,-3.0,-14.0,-11.0,5.0,5.75
