,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.14734821021556854,0.1631617695093155,0.18491384387016296,0.2604365646839142,0.1889650970697403
NLL,-0.16813990473747253,0.15840594470500946,0.41609400510787964,0.744785487651825,0.2877863831818104
MAE,0.20282423496246338,0.22111296653747559,0.25080832839012146,0.34767311811447144,0.25560466200113297
RMSE,0.36780521273612976,0.316556453704834,0.3564138412475586,0.7100609540939331,0.43770911544561386
SMAPE,4.19746555694162,6.033304349972251,6.016807033591074,5.503210302901595,5.4376968108516355
Corr,0.9793113353966244,0.9160210709864255,0.9575897270298982,0.9467271312106892,0.9499123161559093
MB Log,2.568084716796875,2.2403650283813477,1.983449935913086,1.6605477333068848,2.1131118535995483
SDP,1.0,-12.0,-10.0,-20.0,10.25
