,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.2638256251811981,0.26574063301086426,0.20117826759815216,0.5786837935447693,0.32735707983374596
NLL,4.674810886383057,2.8459630012512207,0.3889768719673157,9.919713020324707,4.457365944981575
MAE,0.3049185872077942,0.328900009393692,0.2899111807346344,0.8010178804397583,0.4311869144439697
RMSE,0.6744431257247925,0.4528120756149292,0.4311411678791046,1.843751311302185,0.8505369201302528
SMAPE,5.254820209659942,9.301003211182975,6.888330537978916,9.020358569001498,7.616128131955833
Corr,0.928847292824571,0.8195734289378372,0.956346706378798,0.7765857329832485,0.8703382902811138
MB Log,-inf,-0.43894484639167786,2.0103261470794678,-inf,-inf
SDP,-16.0,43.0,10.0,13.0,12.5
