,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.42771103978157043,0.2466716319322586,0.35057806968688965,0.6540699005126953,0.4197576604783535
NLL,7.313878536224365,4.7552642822265625,0.8696870803833008,88.45279693603516,25.347906708717346
MAE,0.47579532861709595,0.3110996186733246,0.4735780358314514,0.7261722683906555,0.49666131287813187
RMSE,0.883027970790863,0.46235761046409607,0.6993799209594727,1.3963373899459839,0.8602757230401039
SMAPE,8.631118878926316,8.175377246460629,11.566371133882704,12.810097263283925,10.295741130638394
Corr,0.9364233895455092,0.8023632981904565,0.8796422143560932,0.7714013068294486,0.8474575522303769
MB Log,-4.8700361251831055,-2.3199310302734375,1.5282188653945923,-inf,-inf
SDP,-5.0,42.0,-25.0,12.0,6.0
