,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.3670775890350342,0.21819467842578888,0.21756413578987122,0.32137396931648254,0.2810525931417942
NLL,9.01807689666748,3.0512187480926514,0.18042008578777313,2.918771743774414,3.7921218685805798
MAE,0.40629854798316956,0.2668178081512451,0.2861478328704834,0.3565031588077545,0.32894183695316315
RMSE,0.8218594193458557,0.39461663365364075,0.5249624252319336,0.6095775961875916,0.5877540186047554
SMAPE,7.097798700202001,7.472428076905632,6.318277855441995,6.4227843611207724,6.8278222484176
Corr,0.9084594886180473,0.8631176891632819,0.9374789231928143,0.9683999351289947,0.9193640090257846
MB Log,-inf,-0.6409164071083069,2.2176058292388916,-0.4927785396575928,-inf
SDP,-16.0,45.0,-18.0,-7.0,1.0
