,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.4112831950187683,0.20409831404685974,0.18605868518352509,18.771263122558594,4.893175829201937
NLL,108.90260314941406,0.6713957786560059,0.5414547920227051,20046571110400.0,5011642777627.529
MAE,0.464053213596344,0.2729496359825134,0.2563718259334564,18.851869583129883,4.961311064660549
RMSE,0.8437103033065796,0.3739791512489319,0.3556000888347626,63.33388137817383,16.226792730391026
SMAPE,9.271720990742722,8.052325118434887,6.816189387073255,21.39197780661387,11.383053325716183
Corr,0.8795982893784642,0.8908014980497658,0.9750155810472174,-0.034519523410463354,0.677723961266246
MB Log,-inf,1.727573037147522,1.8588507175445557,-inf,-inf
SDP,-10.0,42.0,-14.0,10.0,7.0
