,2014/15,2015/16,2016/17,2017/18,Average
CRPS,,,,,
NLL,,,,,
MAE,0.35633713006973267,0.4195539951324463,0.2749916613101959,0.757047712802887,0.45198262482881546
RMSE,0.6622957587242126,0.6353693008422852,0.4939635396003723,1.4251995086669922,0.8042070269584656
SMAPE,6.69501683483385,9.789246939570527,6.124066914597602,12.08564235739512,8.673493261599274
Corr,0.9599676336987337,0.7691762593355665,0.9453146405802862,0.8736553555720501,0.8870284722966593
MB Log,,,,,
SDP,-19.0,69.0,16.0,28.0,23.5
