,2014/15,2015/16,2016/17,2017/18,Average
CRPS,,,,,
NLL,,,,,
MAE,0.2829989790916443,0.41888731718063354,0.32224416732788086,0.7366653084754944,0.44019894301891327
RMSE,0.5522493720054626,0.5896998047828674,0.5948659777641296,1.3290014266967773,0.7664541453123093
SMAPE,5.0441961419092465,10.412616417056226,6.798147959251926,11.875719044306507,8.532669890630977
Corr,0.9723562074548883,0.7344317498326448,0.9141366542457479,0.9318099873963002,0.8881836497323953
MB Log,,,,,
SDP,-2.0,71.0,22.0,5.0,24.0
