,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.5022901296615601,0.253989577293396,0.29212749004364014,1.1948143243789673,0.5608053803443909
NLL,11.971026420593262,2.8436014652252197,3.12804913520813,60.079994201660156,19.505667805671692
MAE,0.556727409362793,0.3170090615749359,0.35742855072021484,1.3669010400772095,0.6495165154337883
RMSE,0.986833930015564,0.4104265570640564,0.5023797154426575,3.2066550254821777,1.276573807001114
SMAPE,11.33636474609375,9.940777971444886,9.348533316834331,17.901611328125,12.131821840624493
Corr,0.8779682765227976,0.8610061358370095,0.9538904709849031,0.3240762331932835,0.7542352791344984
MB Log,-inf,-0.4375782907009125,-0.7203059792518616,-inf,-inf
SDP,-14.0,35.0,0.0,-53.0,8.0
