,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.4862510859966278,0.2743285894393921,0.1874028593301773,1.841753602027893,0.6974340341985226
NLL,38.07500457763672,8.398704528808594,4.167539119720459,18.077335357666016,17.179645895957947
MAE,0.5294936299324036,0.319801926612854,0.23803627490997314,2.2237541675567627,0.8277714997529984
RMSE,0.9672216176986694,0.482822984457016,0.37425416707992554,7.952816486358643,2.4442788138985634
SMAPE,9.901987363214362,8.981015773418823,5.806886855870077,21.634040728007275,11.580982680127633
Corr,0.9189072064544395,0.7869484445884307,0.9678603393811848,0.042121097208602215,0.6789592719081643
MB Log,-inf,-inf,-1.7273750305175781,-inf,-inf
SDP,-12.0,68.0,16.0,-10.0,15.5
