,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.17961961030960083,0.32138001918792725,0.2604089677333832,0.1697968989610672,0.2328013740479946
NLL,1.0747888088226318,2.4844770431518555,0.6488218307495117,2.89156436920166,1.7749130129814148
MAE,0.24218839406967163,0.41109177470207214,0.3461672365665436,0.21878644824028015,0.3045584633946419
RMSE,0.5082336068153381,0.6206843852996826,0.6053012609481812,0.37096038460731506,0.5262949094176292
SMAPE,4.308724599341823,10.394870778901982,7.3884342141347386,4.039037521571329,6.532766778487469
Corr,0.9317731629917196,0.6865038177656098,0.8890480914396676,0.9882200475474181,0.8738862799361038
MB Log,1.354971170425415,-0.08048561215400696,1.7502217292785645,-0.4274374842643738,0.6493174508213997
SDP,-4.0,39.0,28.0,-6.0,14.25
