,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.3639259934425354,0.20642240345478058,0.21937653422355652,0.49999555945396423,0.3224301226437092
NLL,5.1696248054504395,1.0345544815063477,1.4403411149978638,32.144752502441406,9.947318226099014
MAE,0.4123353362083435,0.269012987613678,0.29809340834617615,0.565886914730072,0.3863321617245674
RMSE,0.8897936344146729,0.35297107696533203,0.4773674011230469,1.0326640605926514,0.6881990432739258
SMAPE,6.968938749130458,7.805727870086504,6.432042579128317,8.518511628451412,7.431305206699173
Corr,0.8370459927607544,0.9041576638361001,0.9508944463614709,0.9686039114118372,0.9151755035925406
MB Log,-2.747061014175415,1.365939974784851,0.9668348431587219,-inf,-inf
SDP,-41.0,45.0,-15.0,6.0,1.25
