,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.2524600625038147,0.16434107720851898,0.1603723019361496,0.562959611415863,0.2850332632660866
NLL,1.0283231735229492,0.5469945073127747,0.26863670349121094,6.602013111114502,2.111491873860359
MAE,0.31790629029273987,0.21941187977790833,0.2197757214307785,0.6775565147399902,0.35866260156035423
RMSE,0.5725266933441162,0.28292539715766907,0.31409525871276855,1.4688169956207275,0.6595910862088203
SMAPE,6.161171900082941,6.782145057219626,5.9765515262133455,12.068948615087221,7.747204274650784
Corr,0.9514200155292221,0.9440583623741499,0.9684946756417571,0.7507835623750192,0.903689153980037
MB Log,1.373349666595459,1.852249264717102,2.130077362060547,-inf,-inf
SDP,-5.0,7.0,-10.0,11.0,0.75
