,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.1938817948102951,0.14390027523040771,0.2600646913051605,inf,inf
NLL,-0.023783812299370766,0.04032048583030701,0.05808548629283905,inf,inf
MAE,0.252053827047348,0.2016594409942627,0.3568030893802643,2.9900267124176025,0.9501357674598694
RMSE,0.502631425857544,0.2563433349132538,0.8964168429374695,11.202887535095215,3.2145697847008705
SMAPE,4.773429452556453,6.530077991589823,5.595009163634417,12.283803861435144,7.29558011730396
Corr,0.9633166801107363,0.9635563393784945,0.8310619449325097,0.48020866899719944,0.809535908354735
MB Log,2.4226324558258057,2.3576908111572266,2.3415298461914062,-inf,-inf
SDP,-1.0,4.0,-11.0,-29.0,9.25
