,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.28795918822288513,0.19890113174915314,0.2007368505001068,0.5295296311378479,0.30428170040249825
NLL,12.168771743774414,1.4306824207305908,0.9788563251495361,274.5357971191406,72.27852690219879
MAE,0.3487852215766907,0.25272637605667114,0.26189637184143066,0.5846424698829651,0.3620126098394394
RMSE,0.6317523717880249,0.3494454622268677,0.4054523706436157,1.0600076913833618,0.6116644740104675
SMAPE,6.968788251484909,7.478552437870881,6.270600932918183,10.094648387334118,7.703147502402023
Corr,0.9359452927135515,0.9108818055204444,0.9693848991788196,0.918435963027674,0.9336619901101224
MB Log,-inf,0.9706611037254333,1.4242123365402222,-inf,-inf
SDP,-7.0,48.0,-12.0,13.0,10.5
