,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.4199911057949066,0.3038822114467621,0.2325953245162964,0.30049291253089905,0.31424038857221603
NLL,26.640321731567383,1.7453609704971313,1.270085096359253,0.7833114266395569,7.609769806265831
MAE,0.44912904500961304,0.4031389653682709,0.32337409257888794,0.4199056625366211,0.39888694137334824
RMSE,0.9106624722480774,0.5739420056343079,0.49864521622657776,0.7889255881309509,0.6930438205599785
SMAPE,7.843257433747592,10.538180408582011,7.463762466221639,6.806343287637788,8.162885899047257
Corr,0.8917381291381411,0.7389594129755828,0.911587604996985,0.9410608886736015,0.8708365089460776
MB Log,-inf,0.6549440622329712,1.1334574222564697,1.6171787977218628,-inf
SDP,-4.0,65.0,25.0,12.0,24.5
