,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.2503054141998291,0.19294501841068268,0.17308035492897034,0.5605311393737793,0.29421548172831535
NLL,1.1280821561813354,0.9970299005508423,0.764873743057251,70.40701293945312,18.32424968481064
MAE,0.3112649917602539,0.25047042965888977,0.23318970203399658,0.7114044427871704,0.37658239156007767
RMSE,0.5606804490089417,0.3459138870239258,0.3359309732913971,1.442788004875183,0.6713283285498619
SMAPE,5.946065301764501,7.316167237328702,6.0600667457058,13.477154039356806,8.199863331038951
Corr,0.9561968831921939,0.9069412591015578,0.9741493427313538,0.7631591745373695,0.9001116648906187
MB Log,1.2755439281463623,1.4034816026687622,1.6373136043548584,-inf,-inf
SDP,-4.0,43.0,-11.0,13.0,10.25
