,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.21309012174606323,0.2124105989933014,0.23209916055202484,1.036832571029663,0.42360811308026314
NLL,0.5113931894302368,4.302406311035156,1.0021827220916748,0.299292653799057,1.5288187190890312
MAE,0.290734201669693,0.25703516602516174,0.3155897259712219,0.7656694650650024,0.4072571396827698
RMSE,0.6094686985015869,0.36045292019844055,0.5790751576423645,1.9119526147842407,0.8652373477816582
SMAPE,5.3184180063744115,7.287205763853313,6.234103686188998,10.380890728676155,7.30515454627322
Corr,0.9477336431246561,0.8958416784015819,0.9259673123119205,0.4756337516119344,0.8112940963625231
MB Log,1.8907917737960815,-1.873445749282837,1.4025263786315918,2.098630905151367,0.8796258270740509
SDP,-7.0,54.0,-11.0,28.0,16.0
