,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.5033559799194336,0.27270254492759705,0.29237690567970276,0.8139395713806152,0.47059375047683716
NLL,11.555143356323242,3.569427728652954,3.5896072387695312,45.643863677978516,16.08951050043106
MAE,0.5587774515151978,0.3344767391681671,0.352076917886734,0.9045730233192444,0.5374760329723358
RMSE,0.9514707922935486,0.4442419707775116,0.5342500805854797,1.3947187662124634,0.8311704024672508
SMAPE,12.3185980809878,10.234438786741164,8.625840487545483,19.905247100412026,12.771031113921618
Corr,0.8765915930596186,0.8335266765472837,0.9591267928782354,0.871361661376784,0.8851516809654805
MB Log,-inf,-1.160332202911377,-1.1764453649520874,-inf,-inf
SDP,3.0,36.0,1.0,8.0,12.0
