,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.47286614775657654,0.2224271595478058,0.3097631633281708,0.5632979273796082,0.3920885995030403
NLL,16.88973045349121,2.631457567214966,4.792139530181885,9.249273300170898,8.39065021276474
MAE,0.5187138319015503,0.2773437201976776,0.3718404769897461,0.6399983167648315,0.4519740864634514
RMSE,0.9255170822143555,0.4091413617134094,0.5649259090423584,1.054741621017456,0.7385814934968948
SMAPE,10.647400111368258,7.994161928937736,8.920900527745076,11.23241267792166,9.698718811493181
Corr,0.8856276344133421,0.8590935326342352,0.9617222501330002,0.9538507410096546,0.915073539547558
MB Log,-inf,-0.22169603407382965,-2.3661961555480957,-6.805742263793945,-inf
SDP,3.0,39.0,2.0,7.0,12.75
