,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.3264765739440918,0.23219268023967743,0.16262948513031006,0.4892069697380066,0.30262642726302147
NLL,5.027355194091797,1.8179731369018555,-0.12982028722763062,18.910266876220703,6.406443729996681
MAE,0.3687380850315094,0.2889541983604431,0.23235143721103668,0.5602290034294128,0.3625681810081005
RMSE,0.7600995302200317,0.39715784788131714,0.3767237067222595,1.195635437965393,0.6824041306972504
SMAPE,6.430507294119221,8.468498688577956,5.221098808393086,9.269419630912886,7.347381105500787
Corr,0.9254181602015801,0.8678891155588736,0.9711843949665133,0.8669891974784378,0.9078702170513512
MB Log,-inf,0.5838221907615662,2.5277631282806396,-inf,-inf
SDP,-18.0,46.0,-5.0,13.0,9.0
