,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.2670826315879822,0.1928718239068985,0.22273990511894226,0.8880674839019775,0.3926904611289501
NLL,1.463101863861084,0.6931385397911072,0.8785430192947388,9.186590194702148,3.0553434044122696
MAE,0.3334064781665802,0.2545306384563446,0.28926119208335876,1.2671626806259155,0.5360902473330498
RMSE,0.606934666633606,0.3404633700847626,0.40768492221832275,3.0244784355163574,1.0948903486132622
SMAPE,6.843610789677868,7.336404935909751,6.801847693038313,12.50410837669895,8.371492948831222
Corr,0.9546939123465268,0.9173034243454764,0.944225619381253,0.5638922276482927,0.8450287959303872
MB Log,0.9400603771209717,1.7059730291366577,1.5216940641403198,-inf,-inf
SDP,2.0,-12.0,-12.0,36.0,3.5
