,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.2800354063510895,0.153086856007576,0.1721363663673401,0.5487184524536133,0.2884942702949047
NLL,3.657825231552124,0.2624918520450592,0.5160661339759827,42.40017318725586,11.709139101207256
MAE,0.33768028020858765,0.20531964302062988,0.23223410546779633,0.6294416785240173,0.3511689268052578
RMSE,0.6048572063446045,0.28969743847846985,0.32650503516197205,1.2783061265945435,0.6248414516448975
SMAPE,6.4442119859669305,6.067584512012253,6.182515915126016,10.994247018474422,7.422139857894906
Corr,0.9388968758922489,0.9356012974391102,0.9725870271653784,0.836354327991717,0.9208598821221136
MB Log,-inf,2.1366419792175293,1.883317470550537,-inf,-inf
SDP,-6.0,-15.0,-11.0,13.0,4.75
