,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.18769514560699463,0.21394352614879608,0.21474489569664001,0.9905786514282227,0.40174055472016335
NLL,-0.05147470906376839,1.3108181953430176,0.46811237931251526,2.11702299118042,0.9611197141930461
MAE,0.2369215488433838,0.274997353553772,0.29028862714767456,1.3991689682006836,0.5503441244363785
RMSE,0.5553119778633118,0.34417426586151123,0.3877216875553131,2.9767322540283203,1.065985046327114
SMAPE,4.597928295396779,8.148863537064017,6.827414525698309,11.79503662945473,7.842310746903458
Corr,0.9220487508241603,0.9158292593381668,0.9488266040091109,0.8459965558914154,0.9081752925157134
MB Log,2.451303243637085,1.0896161794662476,1.9304817914962769,0.29488876461982727,1.4415724948048592
SDP,-8.0,-10.0,-9.0,-34.0,15.25
