,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.49072808027267456,0.26341405510902405,0.2923702597618103,0.8708305358886719,0.4793357327580452
NLL,18.073476791381836,2.5935847759246826,3.6560306549072266,141.0137939453125,41.33422154188156
MAE,0.5417428016662598,0.3326796591281891,0.3534107804298401,0.9672021269798279,0.5487588420510292
RMSE,0.9628533720970154,0.4406580626964569,0.5280230641365051,1.5487873554229736,0.8700804635882378
SMAPE,11.173484488709331,9.33317590932377,8.79997044393461,21.88175567208904,12.797096628514186
Corr,0.8628544598919812,0.8234932369287101,0.9586420228346632,0.7963911148880095,0.8603452086358411
MB Log,-inf,-0.18626967072486877,-1.2423748970031738,-inf,-inf
SDP,-14.0,38.0,1.0,5.0,7.5
