,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.18648652732372284,0.17969805002212524,0.18972820043563843,inf,inf
NLL,0.10063271969556808,0.9859395623207092,0.7305920124053955,inf,inf
MAE,0.24092860519886017,0.23250557482242584,0.24650397896766663,1.4666833877563477,0.5466553866863251
RMSE,0.45668768882751465,0.2989225387573242,0.36086416244506836,3.6040897369384766,1.180141031742096
SMAPE,4.791263946115154,7.3114134574848455,6.4285827009645224,18.718732023892336,9.312498032114215
Corr,0.9620143567965663,0.9355924164374758,0.9690230136886782,0.13814063133041357,0.7511926045632835
MB Log,2.29835844039917,1.4142569303512573,1.6699178218841553,-inf,-inf
SDP,-5.0,6.0,-11.0,13.0,0.75
