,2014/15,2015/16,2016/17,2017/18,Average
CRPS,0.44141870737075806,0.23154288530349731,0.2753671109676361,0.7570240497589111,0.42633818835020065
NLL,7.901400089263916,2.36999773979187,3.2008066177368164,103.58782958984375,29.265008509159088
MAE,0.49949416518211365,0.28989747166633606,0.33465439081192017,0.8542934656143188,0.4945848733186722
RMSE,0.9052698016166687,0.4008774757385254,0.49463996291160583,1.3269224166870117,0.7819274142384529
SMAPE,10.20018068078446,8.889011737427426,8.496598544186108,19.543992133989725,11.78244577409693
Corr,0.9024518242427293,0.8657078636593782,0.9591218474218818,0.8429180947822715,0.8925499075265652
MB Log,-inf,0.03569672629237175,-0.7895757555961609,-inf,-inf
SDP,-18.0,-15.0,0.0,4.0,7.25
